step,mloss,gloss,loss
15500.0,0.5981,0.1247,0.7228
15600.0,0.5873,0.1265,0.7138
15700.0,0.5924,0.1296,0.722
15800.0,0.5988,0.1258,0.7246
15900.0,0.6182,0.1277,0.7459
16000.0,0.5888,0.1267,0.7155
16100.0,0.6112,0.1293,0.7404999999999999
16200.0,0.5976,0.1275,0.7251000000000001
16300.0,0.5905,0.1281,0.7186
16400.0,0.5973,0.1274,0.7247000000000001
16500.0,0.5925,0.1242,0.7167
16600.0,0.6186,0.1252,0.7438
16700.0,0.5963,0.1295,0.7258
16800.0,0.5969,0.1292,0.7261
16900.0,0.5934,0.1267,0.7201000000000001
17000.0,0.6109,0.1264,0.7373000000000001
17100.0,0.5824,0.1252,0.7076
17200.0,0.6305,0.128,0.7585
17300.0,0.6227,0.1292,0.7519
17400.0,0.5948,0.1259,0.7207
17500.0,0.6038,0.1284,0.7322
17600.0,0.5929,0.1257,0.7186
17700.0,0.5964,0.1235,0.7199
17800.0,0.5939,0.1248,0.7187
17900.0,0.5914,0.1234,0.7148
18000.0,0.5972,0.1256,0.7227999999999999
18100.0,0.5887,0.1233,0.712
18200.0,0.6164,0.1257,0.7421
18300.0,0.6014,0.1234,0.7248
18400.0,0.597,0.1235,0.7204999999999999
18500.0,0.5865,0.122,0.7085
18600.0,0.5897,0.1219,0.7116
18700.0,0.6132,0.125,0.7382
18800.0,0.6097,0.1233,0.733
18900.0,0.598,0.1224,0.7203999999999999
19000.0,0.5767,0.1232,0.6999
19100.0,0.5963,0.1225,0.7188000000000001
19200.0,0.606,0.1243,0.7303
19300.0,0.6067,0.1218,0.7285
19400.0,0.6037,0.1245,0.7282
19500.0,0.5794,0.1246,0.7040000000000001
19600.0,0.5926,0.1238,0.7164
19700.0,0.6036,0.1234,0.727
19800.0,0.6007,0.1261,0.7268
19900.0,0.599,0.1218,0.7208
20000.0,0.5899,0.1232,0.7131
20100.0,0.5923,0.122,0.7143
20200.0,0.603,0.1226,0.7256
20300.0,0.5876,0.1231,0.7107
20400.0,0.5938,0.1214,0.7152
20500.0,0.59,0.1228,0.7128
20600.0,0.617,0.1199,0.7369
20700.0,0.5941,0.1235,0.7176
20800.0,0.5974,0.1227,0.7201000000000001
20900.0,0.6115,0.1215,0.7330000000000001
21000.0,0.5875,0.1193,0.7068
21100.0,0.6029,0.1227,0.7256
21200.0,0.5866,0.1222,0.7088
21300.0,0.611,0.1218,0.7328
21400.0,0.5961,0.1206,0.7167
21500.0,0.5866,0.1213,0.7079
21600.0,0.5847,0.1186,0.7033
21700.0,0.5815,0.1193,0.7008
